ecg,gsr,temp,hr,spo2,timest,second
3.8416,0.4985,31.28,0,0,298343,0.966
4.3597,0.4985,31.28,0,0,298346,0.969
4.5797,0.4985,31.25,0,0,298349,0.972
4.3891,0.4936,31.28,0,0,298352,0.975
3.8612,0.4985,31.3,0,0,298356,0.978
3.2356,0.4936,31.3,0,0,298359,0.981
2.6784,0.4985,31.28,0,0,298362,0.984
2.2287,0.4985,31.28,0,0,298365,0.987
1.8915,0.4985,31.28,0,0,298369,0.99
1.6667,0.5034,31.28,0,0,298373,0.993
1.5396,0.4936,31.28,0,0,298376,0.996
1.4516,0.4985,31.3,0,0,298379,0.999
1.4125,0.4936,31.28,0,0,298382,1.002
1.3978,0.4936,31.3,0,0,298385,1.005
1.3881,0.4985,31.3,0,0,298389,1.008
1.393,0.4936,31.28,0,0,298392,1.011
1.4076,0.4839,31.3,0,0,298395,1.014
1.4223,0.4985,31.3,0,0,298398,1.017
1.4272,0.4985,31.28,0,0,298401,1.02
1.4418,0.4985,31.28,0,0,298405,1.023
1.4516,0.4985,31.3,0,0,298408,1.026
1.4663,0.4985,31.33,0,0,298412,1.029
1.4809,0.4985,31.3,0,0,298415,1.032
1.4956,0.4839,31.28,0,0,298418,1.035
1.5249,0.4985,31.3,0,0,298422,1.038
1.5445,0.4985,31.3,0,0,298425,1.041
1.5934,0.4936,31.28,0,0,298428,1.044
1.5787,0.4985,31.3,0,0,298431,1.047
1.5982,0.4985,31.33,0,0,298434,1.05
1.6178,0.5034,31.28,0,0,298438,1.053
1.6325,0.4936,31.28,0,0,298441,1.056
1.652,0.4936,31.28,0,0,298444,1.059
1.6667,0.4936,31.28,0,0,298447,1.062
1.6862,0.4936,31.3,0,0,298450,1.065
1.7009,0.4985,31.33,0,0,298455,1.068
1.7155,0.5034,31.28,0,0,298458,1.071
1.7351,0.4985,31.3,0,0,298461,1.074
1.7498,0.4985,31.28,0,0,298464,1.077
1.7644,0.4985,31.25,0,0,298467,1.08
1.7742,0.4936,31.28,0,0,298471,1.083
1.7986,0.4985,31.28,0,0,298474,1.086
1.8133,0.5034,31.28,0,0,298477,1.089
1.828,0.4985,31.28,0,0,298480,1.092
1.8426,0.4985,31.28,0,0,298483,1.095
1.8573,0.5181,31.28,0,0,298487,1.098
1.8671,0.4936,31.28,0,0,298490,1.101
1.8915,0.4985,31.09,0,0,298493,1.104
1.9062,0.5083,31.28,0,0,298497,1.107
1.9159,0.4936,31.3,0,0,298500,1.11
1.9453,0.4936,31.3,0,0,298504,1.113
1.9648,0.4985,31.28,0,0,298507,1.116
1.9795,0.4985,31.28,0,0,298510,1.119
1.9941,0.4985,31.3,0,0,298513,1.122
2.0088,0.4985,31.28,0,0,298516,1.125
2.0186,0.5034,31.28,0,0,298520,1.128
2.0381,0.4936,31.28,0,0,298523,1.131
2.043,0.4985,31.28,0,0,298526,1.134
2.0479,0.4985,31.28,0,0,298529,1.137
2.0577,0.4985,31.3,0,0,298532,1.14
2.0674,0.4936,31.28,0,0,298536,1.143
2.0821,0.4985,31.28,0,0,298540,1.146
2.0919,0.4985,31.28,0,0,298543,1.149
2.0968,0.4985,31.28,0,0,298546,1.152
2.1017,0.5034,31.28,0,0,298549,1.155
2.1065,0.4936,31.28,0,0,298553,1.158
2.0968,0.4985,31.28,0,0,298556,1.161
2.0968,0.4985,31.3,0,0,298559,1.164
2.0919,0.5034,31.28,0,0,298562,1.167
2.0919,0.4839,31.3,0,0,298565,1.17
2.0772,0.4985,31.3,0,0,298569,1.173
2.0674,0.4985,31.3,0,0,298572,1.176
2.0626,0.4985,31.28,0,0,298575,1.179
2.087,0.5034,31.28,0,0,298578,1.182
2.0528,0.4839,31.3,0,0,298582,1.185
2.0381,0.4936,31.3,0,0,298586,1.188
2.0332,0.4985,31.25,0,0,298589,1.191
2.0186,0.4936,31.28,0,0,298592,1.194
2.0039,0.4936,31.28,0,0,298595,1.197
1.9795,0.4985,31.28,0,0,298598,1.2
1.9501,0.4985,31.28,0,0,298601,1.203
1.9208,0.5034,31.28,0,0,298605,1.206
1.8866,0.4985,31.3,0,0,298608,1.209
1.8524,0.5034,31.3,0,0,298611,1.212
1.8133,0.4985,31.28,0,0,298614,1.215
1.7791,0.4985,31.28,0,0,298617,1.218
1.7498,0.4985,31.28,0,0,298621,1.221
1.7155,0.4985,31.28,0,0,298625,1.224
1.6862,0.4985,31.28,0,0,298628,1.227
1.6569,0.4985,31.2,0,0,298631,1.23
1.6276,0.4985,31.28,0,0,298635,1.233
1.5982,0.4936,31.28,0,0,298638,1.236
1.5836,0.4985,31.25,0,0,298641,1.239
1.5689,0.523,31.28,0,0,298644,1.242
1.5885,0.4839,31.28,0,0,298647,1.245
1.5494,0.4985,31.3,0,0,298651,1.248
1.5494,0.4985,31.33,0,0,298654,1.251
1.5494,0.4985,31.28,0,0,298657,1.254
1.5591,0.4985,31.3,0,0,298660,1.257
1.5689,0.4985,31.2,0,0,298663,1.26
1.5787,0.4985,31.28,0,0,298668,1.263
1.5836,0.4936,31.3,0,0,298671,1.266
1.6031,0.4936,31.22,0,0,298674,1.269
1.6129,0.5181,31.28,0,0,298677,1.272
1.6325,0.4985,31.28,0,0,298680,1.275
1.6471,0.4985,31.25,0,0,298684,1.278
1.6569,0.5034,31.28,0,0,298687,1.281
1.6716,0.4985,31.28,0,0,298690,1.284
1.6813,0.4985,31.28,0,0,298693,1.287
1.6862,0.4888,31.28,0,0,298696,1.29
1.7009,0.4985,31.3,0,0,298700,1.293
1.7058,0.4985,31.3,0,0,298703,1.296
1.7155,0.5034,31.28,0,0,298706,1.299
1.7302,0.4936,31.28,0,0,298710,1.302
1.7351,0.4985,31.3,0,0,298713,1.305
1.74,0.4985,31.28,0,0,298717,1.308
1.7449,0.4839,31.3,0,0,298720,1.311
1.7449,0.4985,31.3,0,0,298723,1.314
1.74,0.4985,31.28,0,0,298726,1.317
